course_code,subject_id,catalog_name,course_code_ambiguous
LFB2083,SUBJ_LABORATORIO_DE_FARMACOLOGIA_Y_FARMACOGNOSIA,Laboratorio de Farmacología y Farmacognosia,False
LFB2093,SUBJ_BIOLOGIA_MOLECULAR,Biología Molecular,False
LFB2103,SUBJ_LABORATORIO_DE_BIOLOGIA_MOLECULAR,Laboratorio de Biología Molecular,False
LFB2113,SUBJ_ANATOMIA_Y_FISIOLOGIA,Anatomía y Fisiología,False
LFB2123,SUBJ_LABORATORIO_DE_ANATOMIA_Y_FISIOLOGIA,Laboratorio de Anatomía y Fisiología,False
LFB2133,SUBJ_FISIOPATOLOGIA,Fisiopatología,False
LFB2143,SUBJ_GENETICA,Genética,False
LFB2153,SUBJ_FARMACOLOGIA_CLINICA,Farmacología Clínica,False
LFB2163,SUBJ_FISICOQUIMICA,Fisicoquímica,False
LFB2173,SUBJ_LABORATORIO_DE_FISICOQUIMICA,Laboratorio de Fisicoquímica,False
LFB2183,SUBJ_PRACTICAS_EN_LA_PROFESION_1,Prácticas en la Profesión 1,False
LFB2193,SUBJ_PRACTICAS_EN_LA_PROFESION_2,Prácticas en la Profesión 2,False
LFB2203,SUBJ_PERSPECTIVAS_DISCIPLINARES,Perspectivas Disciplinares,False
LFB2213,SUBJ_TOPICOS_DE_VANGUARDIA,Tópicos de Vanguardia,False
LIC1012,SUBJ_LABORATORIO_DE_DIBUJO_APLICADO_A_LA_INGENIERIA_CIVIL,Laboratorio de Dibujo Aplicado a la Ingeniería Civil,False
LIC1022,SUBJ_DIBUJO_TECNICO_COMPUTARIZADO,Dibujo Técnico Computarizado,False
LIC1032,SUBJ_TOPOGRAFIA,Topografía,False
LIC2012,SUBJ_EQUILIBRIO_DE_CUERPOS_RIGIDOS,Equilibrio de Cuerpos Rígidos,False
LIC2022,SUBJ_GEOLOGIA_Y_SUELOS_EN_LA_CONSTRUCCION,Geología y Suelos en la Construcción,False
LIC2032,SUBJ_HIDRAULICA_GENERAL,Hidráulica General,False
LIC2042,SUBJ_CONTROL_DE_CALIDAD_EN_LA_CONSTRUCCION,Control de Calidad en la Construcción,False
LIC2052,SUBJ_LABORATORIO_DE_HIDRAULICA_GENERAL,Laboratorio de Hidráulica General,False
LIC2062,SUBJ_COMPORTAMIENTO_MECANICO_DE_MATERIALES,Comportamiento Mecánico de Materiales,False
LIC2072,SUBJ_DISENO_GEOMETRICO_DE_CARRETERAS,Diseño Geométrico de Carreteras,False
LIC2082,SUBJ_ECUACIONES_DIFERENCIALES_ORDINARIAS,Ecuaciones Diferenciales Ordinarias,False
LIC3012,SUBJ_INSTALACIONES_BASICAS,Instalaciones Básicas,False
LIC3022,SUBJ_INTRODUCCION_A_LA_INGENIERIA_ESTRUCTURAL,Introducción a la Ingeniería Estructural,False
LIC3032,SUBJ_PROCEDIMIENTOS_DE_CONSTRUCCION,Procedimientos de Construcción,False
LIC3042,SUBJ_ANALISIS_ESTRUCTURAL_I,Análisis Estructural I,False
LIC3052,SUBJ_LABORATORIO_DE_MATERIALES,Laboratorio de Materiales,False
LIC3062,SUBJ_HIDROLOGIA_Y_MODELOS_GEOGRAFICOS,Hidrología y Modelos Geográficos,False
LIC3072,SUBJ_PLANEACION_Y_CONTROL_DE_OBRA,Planeación y Control de Obra,False
LIC3082,SUBJ_DISENO_DE_ELEMENTOS_DE_CONCRETO_REFORZADO,Diseño de Elementos de Concreto Reforzado,False
LIC3092,SUBJ_LABORATORIO_DE_ESTRUCTURAS,Laboratorio de Estructuras,False
LIC3102,SUBJ_DISENO_DE_ELEMENTOS_DE_ACERO,Diseño de Elementos de Acero,False
LIC3112,SUBJ_DINAMICA_ESTRUCTURAL_PARA_ANALISIS_SISMICO,Dinámica Estructural para Análisis Sísmico,False
LIC3122,SUBJ_DISENO_Y_CONSERVACION_DE_PAVIMENTOS,Diseño y Conservación de Pavimentos,False
LIC3132,SUBJ_LABORATORIO_DE_PAVIMENTOS,Laboratorio de Pavimentos,False
LIC3142,SUBJ_DISENO_DE_ELEMENTOS_DE_MAMPOSTERIA,Diseño de Elementos de Mampostería,False
LIC3152,SUBJ_DISENO_DE_SISTEMAS_DE_AGUA_Y_SANEAMIENTO,Diseño de Sistemas de Agua y Saneamiento,False
LIC3162,SUBJ_LABORATORIO_DE_CALIDAD_DEL_AGUA,Laboratorio de Calidad del Agua,False
LIC3172,SUBJ_DISENO_GEOTECNICO,Diseño Geotécnico,False
LIC3182,SUBJ_PRACTICAS_EN_LA_PROFESION_1,Prácticas en la Profesión 1,False
LIC4012,SUBJ_DISENO_ESTRUCTURAL_EN_CONCRETO_REFORZADO,Diseño Estructural en Concreto Reforzado,False
LIC4022,SUBJ_DISENO_ESTRUCTURAL_EN_ACERO,Diseño Estructural en Acero,False
LIC4032,SUBJ_DISENO_GEOTECNICO_AVANZADO,Diseño Geotécnico Avanzado,False
LIC4042,SUBJ_MODELADO_DE_SISTEMAS_DE_AGUA_Y_SANEAMIENTO,Modelado de Sistemas de Agua y Saneamiento,False
LIC4052,SUBJ_PRACTICAS_EN_LA_PROFESION_2,Prácticas en la Profesión 2,False
LIC4062,SUBJ_TEMAS_SELECTOS,Temas Selectos,False
LIC4072,SUBJ_PERSPECTIVAS_DISCIPLINARES,Perspectivas Disciplinares,False
LIC4082,SUBJ_TOPICOS_DE_VANGUARDIA,Tópicos de Vanguardia,False
LII1012,SUBJ_DIBUJO_TECNICO_COMPUTARIZADO,Dibujo Técnico Computarizado,False
LII1022,SUBJ_ESTADISTICA_APLICADA,Estadística Aplicada,False
LII1032,SUBJ_INVESTIGACION_DE_OPERACIONES_I,Investigación de Operaciones I,False
LII1042,SUBJ_PROCESOS_DE_MANUFACTURA,Procesos de Manufactura,False
LII1052,SUBJ_INGENIERIA_DE_METODOS,Ingeniería de Métodos,False
LII1062,SUBJ_ERGONOMIA_Y_SEGURIDAD_INDUSTRIAL,Ergonomía y Seguridad Industrial,False
LII2012,SUBJ_INVESTIGACION_DE_OPERACIONES_II,Investigación de Operaciones II,False
LII2022,SUBJ_CONTROL_DE_CALIDAD,Control de Calidad,False
LII2032,SUBJ_INGENIERIA_ECONOMICA,Ingeniería Económica,False
LII2042,SUBJ_PLANEACION_Y_CONTROL_DE_LA_PRODUCCION,Planeación y Control de la Producción,True
LII2042,SUBJ_TEORIAS_Y_TECNICAS_DE_OPTIMIZACION,Teorías y Técnicas de Optimización,True
LII2052,SUBJ_LOGISTICA_Y_CADENAS_DE_SUMINISTRO,Logística y Cadenas de Suministro,False
LII2062,SUBJ_SISTEMAS_DE_INFORMACION_PARA_LA_TOMA_DE_DECISIONES,Sistemas de Información para la Toma de Decisiones,False
LII2072,SUBJ_SIMULACION_DE_SISTEMAS,Simulación de Sistemas,False
LII2082,SUBJ_GESTION_DE_PROYECTOS,Gestión de Proyectos,False
LII3012,SUBJ_INGENIERIA_DE_SISTEMAS,Ingeniería de Sistemas,False
LII3022,SUBJ_ANALISIS_Y_DISENO_DE_SISTEMAS_DE_PRODUCCION,Análisis y Diseño de Sistemas de Producción,False
LII3032,SUBJ_GESTION_DE_LA_CALIDAD_TOTAL,Gestión de la Calidad Total,False
LII3042,SUBJ_ADMINISTRACION_DE_RECURSOS_HUMANOS,Administración de Recursos Humanos,False
LII3052,SUBJ_ADMINISTRACION_DE_LA_TECNOLOGIA,Administración de la Tecnología,False
LII3062,SUBJ_SISTEMAS_DE_MANUFACTURA_AVANZADA,Sistemas de Manufactura Avanzada,False
LII3072,SUBJ_EVALUACION_DE_PROYECTOS,Evaluación de Proyectos,False
LII3082,SUBJ_PRACTICAS_EN_LA_PROFESION_1,Prácticas en la Profesión 1,False
LII4012,SUBJ_TEMAS_SELECTOS,Temas Selectos,False
LII4022,SUBJ_PERSPECTIVAS_DISCIPLINARES,Perspectivas Disciplinares,False
LII4032,SUBJ_TOPICOS_DE_VANGUARDIA,Tópicos de Vanguardia,False
LII4042,SUBJ_PRACTICAS_EN_LA_PROFESION_2,Prácticas en la Profesión 2,False
LIS1012,SUBJ_ALGORITMOS_Y_PROGRAMACION,Algoritmos y Programación,False
LIS1013,SUBJ_ALGORITMOS_Y_PROGRAMACION,Algoritmos y Programación,False
LIS1022,SUBJ_PROGRAMACION_ORIENTADA_A_OBJETOS,Programación Orientada a Objetos,False
LIS2012,SUBJ_MATEMATICAS_DISCRETAS,Matemáticas Discretas,False
LIS2032,SUBJ_ESCTRUCTURAS_DE_DATOS,Esctructuras de Datos,False
LIS2033,SUBJ_BASES_DE_DATOS,Bases de Datos,False
LIS2043,SUBJ_MATEMATICAS_DISCRETAS,Matemáticas Discretas,False
LIS2082,SUBJ_BASES_DE_DATOS,Bases de Datos,False
LIS3082,SUBJ_INTELIGENCIA_ARTIFICIAL,Inteligencia Artificial,False
LIS4093,SUBJ_COMPUTO_EN_LA_NUBE_Y_DATOS_MASIVOS,Cómputo en la Nube y Datos Masivos,False
LIS4102,SUBJ_COMPUTO_EN_LA_NUVE_Y_DATOS_MASIVOS,Cómputo en la Nuve y Datos Masivos,False
LMR1012,SUBJ_HISTOLOGIA,Histología,False
LMR1022,SUBJ_BIOQUIMICA_CLINICA,Bioquímica Clínica,False
LMR1032,SUBJ_ANATOMOFISIOLOGIA,Anatomofisiología,False
LMR1042,SUBJ_EMBRIOLOGIA_Y_GENETICA,Embriología y Genética,False
LMR1052,SUBJ_FISIOLOGIA,Fisiología,False
LMR1062,SUBJ_BIOLOGIA_CELULAR_Y_MOLECULAR,Biología Celular y Molecular,False
LMR1072,SUBJ_ANATOMIA_DENTAL,Anatomía Dental,False
LMR1082,SUBJ_MICROBIOLOGIA_Y_PARASITOLOGIA,Microbiología y Parasitología,False
LMR1092,SUBJ_FARMACOLOGIA,Farmacología,False
LMR1102,SUBJ_PATOLOGIA_GENERAL,Patología General,False
LMR1112,SUBJ_RADIOLOGIA_DENTAL,Radiología Dental,False
LMR1122,SUBJ_ODONTOLOGIA_PREVENTIVA,Odontología Preventiva,False
LMR1132,SUBJ_OPERATORIA_DENTAL,Operatoria Dental,False
LMR1142,SUBJ_PROTESIS_PARCIAL_REMOVIBLE,Prótesis Parcial Removible,False
LMR1152,SUBJ_ENDODONCIA,Endodoncia,False
LMR1162,SUBJ_PERIODONCIA,Periodoncia,False
LMR1172,SUBJ_CIRUGIA_BUCAL,Cirugía Bucal,False
LMR1182,SUBJ_ORTODONCIA,Ortodoncia,False
LMR1192,SUBJ_ODONTOPEDIATRIA,Odontopediatría,False
LMR1202,SUBJ_PROTESIS_TOTAL,Prótesis Total,False
LMR1212,SUBJ_CLINICA_INTEGRAL_I,Clínica Integral I,False
LMR1222,SUBJ_CLINICA_INTEGRAL_II,Clínica Integral II,False
LMR1232,SUBJ_CLINICA_INTEGRAL_III,Clínica Integral III,False
LMR1242,SUBJ_CLINICA_INTEGRAL_IV,Clínica Integral IV,False
